"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1990","1990","USD_KG","US dollars per kilogram","0","Units","2015","2015",1.964717,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1995","1995","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.095177,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2000","2000","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.162004,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2005","2005","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.340374,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2010","2010","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.560645,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2011","2011","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.672029,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2012","2012","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.741216,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2013","2013","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.858032,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2014","2014","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.994385,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2015","2015","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.025695,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2016","2016","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.029177,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2017","2017","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.084023,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2018","2018","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.170603,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2019","2019","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.175449,,
"AUS","Australia","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2020","2020","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.135081,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1990","1990","PC","Percentage","0","Units",,,8.47,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1995","1995","PC","Percentage","0","Units",,,10.05,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2000","2000","PC","Percentage","0","Units",,,7.66,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2005","2005","PC","Percentage","0","Units",,,8.88,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2010","2010","PC","Percentage","0","Units",,,13.08,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2011","2011","PC","Percentage","0","Units",,,12.01,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2012","2012","PC","Percentage","0","Units",,,10.3,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2013","2013","PC","Percentage","0","Units",,,9.83,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2014","2014","PC","Percentage","0","Units",,,10.38,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2015","2015","PC","Percentage","0","Units",,,9.88,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2016","2016","PC","Percentage","0","Units",,,10.5,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2017","2017","PC","Percentage","0","Units",,,10.04,,
"AUS","Australia","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2018","2018","PC","Percentage","0","Units",,,9.06,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1990","1990","USD_KG","US dollars per kilogram","0","Units","2015","2015",4.827576,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1995","1995","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.088802,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2000","2000","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.679634,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2005","2005","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.148217,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2010","2010","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.983801,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2011","2011","USD_KG","US dollars per kilogram","0","Units","2015","2015",6.318892,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2012","2012","USD_KG","US dollars per kilogram","0","Units","2015","2015",6.679953,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2013","2013","USD_KG","US dollars per kilogram","0","Units","2015","2015",6.613173,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2014","2014","USD_KG","US dollars per kilogram","0","Units","2015","2015",7.062545,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2015","2015","USD_KG","US dollars per kilogram","0","Units","2015","2015",7.003492,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2016","2016","USD_KG","US dollars per kilogram","0","Units","2015","2015",7.094608,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2017","2017","USD_KG","US dollars per kilogram","0","Units","2015","2015",7.016732,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2018","2018","USD_KG","US dollars per kilogram","0","Units","2015","2015",7.539989,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2019","2019","USD_KG","US dollars per kilogram","0","Units","2015","2015",7.433267,,
"AUT","Austria","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2020","2020","USD_KG","US dollars per kilogram","0","Units","2015","2015",7.664531,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1990","1990","PC","Percentage","0","Units",,,11.9,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1995","1995","PC","Percentage","0","Units",,,11.55,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2000","2000","PC","Percentage","0","Units",,,10.72,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2005","2005","PC","Percentage","0","Units",,,9.83,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2010","2010","PC","Percentage","0","Units",,,15.15,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2011","2011","PC","Percentage","0","Units",,,15.24,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2012","2012","PC","Percentage","0","Units",,,15.5,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2013","2013","PC","Percentage","0","Units",,,11.95,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2014","2014","PC","Percentage","0","Units",,,12.53,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2015","2015","PC","Percentage","0","Units",,,12.25,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2016","2016","PC","Percentage","0","Units",,,11.92,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2017","2017","PC","Percentage","0","Units",,,12.93,,
"AUT","Austria","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2018","2018","PC","Percentage","0","Units",,,13.58,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1990","1990","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.104695,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1995","1995","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.21433,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2000","2000","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.614054,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2005","2005","USD_KG","US dollars per kilogram","0","Units","2015","2015",4.21295,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2010","2010","USD_KG","US dollars per kilogram","0","Units","2015","2015",4.688702,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2011","2011","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.298291,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2012","2012","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.40045,,
