Entity,Code,Year,annual_sea_surface_temperature_anomaly
Northern Hemisphere,,1850,-0.24543
Northern Hemisphere,,1851,-0.12597
Northern Hemisphere,,1852,-0.04124
Northern Hemisphere,,1853,-0.07099
Northern Hemisphere,,1854,-0.09133
Northern Hemisphere,,1855,-0.07278
Northern Hemisphere,,1856,-0.2731
Northern Hemisphere,,1857,-0.30807
Northern Hemisphere,,1858,-0.34941
Northern Hemisphere,,1859,-0.22826
Northern Hemisphere,,1860,-0.18485
Northern Hemisphere,,1861,-0.19615
Northern Hemisphere,,1862,-0.49465
Northern Hemisphere,,1863,-0.2943
Northern Hemisphere,,1864,-0.23266
Northern Hemisphere,,1865,-0.06615
Northern Hemisphere,,1866,-0.10785
Northern Hemisphere,,1867,-0.06536
Northern Hemisphere,,1868,0.04032
Northern Hemisphere,,1869,-0.08863
Northern Hemisphere,,1870,-0.02181
Northern Hemisphere,,1871,-0.18074
Northern Hemisphere,,1872,-0.19192
Northern Hemisphere,,1873,-0.25505
Northern Hemisphere,,1874,-0.29415
Northern Hemisphere,,1875,-0.2132
Northern Hemisphere,,1876,-0.23862
Northern Hemisphere,,1877,0.1577
Northern Hemisphere,,1878,0.1477
Northern Hemisphere,,1879,-0.15504
Northern Hemisphere,,1880,-0.16824
Northern Hemisphere,,1881,-0.14439
Northern Hemisphere,,1882,-0.24403
Northern Hemisphere,,1883,-0.2774
Northern Hemisphere,,1884,-0.35685
Northern Hemisphere,,1885,-0.2492
Northern Hemisphere,,1886,-0.28935
Northern Hemisphere,,1887,-0.33744
Northern Hemisphere,,1888,-0.10611
Northern Hemisphere,,1889,-0.08164
Northern Hemisphere,,1890,-0.4016
Northern Hemisphere,,1891,-0.18634
Northern Hemisphere,,1892,-0.40831
Northern Hemisphere,,1893,-0.44532
Northern Hemisphere,,1894,-0.46641
Northern Hemisphere,,1895,-0.28801
Northern Hemisphere,,1896,-0.08731
Northern Hemisphere,,1897,-0.09577
Northern Hemisphere,,1898,-0.29201
Northern Hemisphere,,1899,-0.23844
Northern Hemisphere,,1900,-0.07819
Northern Hemisphere,,1901,-0.24849
Northern Hemisphere,,1902,-0.3918
Northern Hemisphere,,1903,-0.49264
Northern Hemisphere,,1904,-0.57373
Northern Hemisphere,,1905,-0.40044
Northern Hemisphere,,1906,-0.33631
Northern Hemisphere,,1907,-0.44558
Northern Hemisphere,,1908,-0.52417
Northern Hemisphere,,1909,-0.52935
Northern Hemisphere,,1910,-0.5445
Northern Hemisphere,,1911,-0.46702
Northern Hemisphere,,1912,-0.42531
Northern Hemisphere,,1913,-0.53469
Northern Hemisphere,,1914,-0.33924
Northern Hemisphere,,1915,-0.1897
Northern Hemisphere,,1916,-0.42129
Northern Hemisphere,,1917,-0.4606
Northern Hemisphere,,1918,-0.4544
Northern Hemisphere,,1919,-0.38187
Northern Hemisphere,,1920,-0.32348
Northern Hemisphere,,1921,-0.22673
Northern Hemisphere,,1922,-0.29582
Northern Hemisphere,,1923,-0.29836
Northern Hemisphere,,1924,-0.24975
Northern Hemisphere,,1925,-0.21979
Northern Hemisphere,,1926,-0.04269
Northern Hemisphere,,1927,-0.09865
Northern Hemisphere,,1928,-0.16752
Northern Hemisphere,,1929,-0.22852
Northern Hemisphere,,1930,-0.05307
Northern Hemisphere,,1931,-0.03009
Northern Hemisphere,,1932,-0.14323
Northern Hemisphere,,1933,-0.17368
Northern Hemisphere,,1934,-0.17335
Northern Hemisphere,,1935,-0.14515
Northern Hemisphere,,1936,-0.0602
Northern Hemisphere,,1937,0.07546
Northern Hemisphere,,1938,-0.06008
Northern Hemisphere,,1939,-0.09279
Northern Hemisphere,,1940,-0.0274
Northern Hemisphere,,1941,0.0216
Northern Hemisphere,,1942,0.13673
Northern Hemisphere,,1943,0.09311
Northern Hemisphere,,1944,0.22701
Northern Hemisphere,,1945,0.24019
Northern Hemisphere,,1946,0.04629
Northern Hemisphere,,1947,-0.07262
Northern Hemisphere,,1948,-0.03049
Northern Hemisphere,,1949,-0.05113
Northern Hemisphere,,1950,-0.03175
Northern Hemisphere,,1951,0.13304
Northern Hemisphere,,1952,0.13137
Northern Hemisphere,,1953,0.13419
Northern Hemisphere,,1954,-0.02413
Northern Hemisphere,,1955,-0.08925
Northern Hemisphere,,1956,-0.15927
Northern Hemisphere,,1957,0.05476
Northern Hemisphere,,1958,0.13829
Northern Hemisphere,,1959,0.04891
Northern Hemisphere,,1960,0.00403
Northern Hemisphere,,1961,0.01988
Northern Hemisphere,,1962,-0.03164
Northern Hemisphere,,1963,0.05411
Northern Hemisphere,,1964,-0.13576
Northern Hemisphere,,1965,-0.15735
Northern Hemisphere,,1966,0.03296
Northern Hemisphere,,1967,-0.02786
Northern Hemisphere,,1968,-0.06266
Northern Hemisphere,,1969,0.00904
Northern Hemisphere,,1970,-0.08445
Northern Hemisphere,,1971,-0.28141
Northern Hemisphere,,1972,-0.11321
Northern Hemisphere,,1973,-0.05486
Northern Hemisphere,,1974,-0.19187
Northern Hemisphere,,1975,-0.19404
Northern Hemisphere,,1976,-0.18453
Northern Hemisphere,,1977,0.02875
Northern Hemisphere,,1978,0.02351
Northern Hemisphere,,1979,0.11557
Northern Hemisphere,,1980,0.11814
Northern Hemisphere,,1981,0.11871
Northern Hemisphere,,1982,0.09709
Northern Hemisphere,,1983,0.13134
Northern Hemisphere,,1984,-0.01035
Northern Hemisphere,,1985,-0.05292
Northern Hemisphere,,1986,0.02305
Northern Hemisphere,,1987,0.18199
Northern Hemisphere,,1988,0.18924
Northern Hemisphere,,1989,0.16616
Northern Hemisphere,,1990,0.3433
Northern Hemisphere,,1991,0.29117
Northern Hemisphere,,1992,0.16649
Northern Hemisphere,,1993,0.17764
Northern Hemisphere,,1994,0.30743
Northern Hemisphere,,1995,0.37636
Northern Hemisphere,,1996,0.24322
Northern Hemisphere,,1997,0.46561
Northern Hemisphere,,1998,0.54005
Northern Hemisphere,,1999,0.30584
Northern Hemisphere,,2000,0.32846
Northern Hemisphere,,2001,0.43002
Northern Hemisphere,,2002,0.45919
Northern Hemisphere,,2003,0.53578
Northern Hemisphere,,2004,0.54965
Northern Hemisphere,,2005,0.55676
Northern Hemisphere,,2006,0.51703
Northern Hemisphere,,2007,0.46049
Northern Hemisphere,,2008,0.43452
Northern Hemisphere,,2009,0.51944
Northern Hemisphere,,2010,0.55668
Northern Hemisphere,,2011,0.41673
Northern Hemisphere,,2012,0.52636
Northern Hemisphere,,2013,0.55485
Northern Hemisphere,,2014,0.71281
Northern Hemisphere,,2015,0.86102
Northern Hemisphere,,2016,0.85601
Northern Hemisphere,,2017,0.78167
Northern Hemisphere,,2018,0.73886
Northern Hemisphere,,2019,0.85743
Northern Hemisphere,,2020,0.93004
Northern Hemisphere,,2021,0.78514
Southern Hemisphere,,1850,-0.38482
Southern Hemisphere,,1851,-0.27492
Southern Hemisphere,,1852,-0.32529
Southern Hemisphere,,1853,-0.345
Southern Hemisphere,,1854,-0.42231
Southern Hemisphere,,1855,-0.38452
Southern Hemisphere,,1856,-0.33083
Southern Hemisphere,,1857,-0.51906
Southern Hemisphere,,1858,-0.43968
Southern Hemisphere,,1859,-0.3179
Southern Hemisphere,,1860,-0.27339
Southern Hemisphere,,1861,-0.4577
Southern Hemisphere,,1862,-0.3514
Southern Hemisphere,,1863,-0.3455
Southern Hemisphere,,1864,-0.42989
Southern Hemisphere,,1865,-0.27553
Southern Hemisphere,,1866,-0.26351
Southern Hemisphere,,1867,-0.27942
Southern Hemisphere,,1868,-0.31287
Southern Hemisphere,,1869,-0.40184
Southern Hemisphere,,1870,-0.32964
Southern Hemisphere,,1871,-0.25842
Southern Hemisphere,,1872,-0.26847
Southern Hemisphere,,1873,-0.31776
Southern Hemisphere,,1874,-0.43965
Southern Hemisphere,,1875,-0.26181
Southern Hemisphere,,1876,-0.42132
Southern Hemisphere,,1877,-0.14716
Southern Hemisphere,,1878,-0.11746
Southern Hemisphere,,1879,-0.22437
Southern Hemisphere,,1880,-0.22533
Southern Hemisphere,,1881,-0.16031
Southern Hemisphere,,1882,-0.19423
Southern Hemisphere,,1883,-0.22709
Southern Hemisphere,,1884,-0.34973
Southern Hemisphere,,1885,-0.41487
Southern Hemisphere,,1886,-0.40755
Southern Hemisphere,,1887,-0.49648
Southern Hemisphere,,1888,-0.36959
Southern Hemisphere,,1889,-0.23317
Southern Hemisphere,,1890,-0.46718
Southern Hemisphere,,1891,-0.36571
Southern Hemisphere,,1892,-0.42884
Southern Hemisphere,,1893,-0.39544
Southern Hemisphere,,1894,-0.42167
Southern Hemisphere,,1895,-0.40278
Southern Hemisphere,,1896,-0.22279
Southern Hemisphere,,1897,-0.29206
Southern Hemisphere,,1898,-0.56882
Southern Hemisphere,,1899,-0.38265
Southern Hemisphere,,1900,-0.36784
Southern Hemisphere,,1901,-0.46638
Southern Hemisphere,,1902,-0.51021
Southern Hemisphere,,1903,-0.64332
Southern Hemisphere,,1904,-0.62852
Southern Hemisphere,,1905,-0.46958
Southern Hemisphere,,1906,-0.43078
Southern Hemisphere,,1907,-0.49207
Southern Hemisphere,,1908,-0.61625
Southern Hemisphere,,1909,-0.64512
Southern Hemisphere,,1910,-0.62274
Southern Hemisphere,,1911,-0.70471
Southern Hemisphere,,1912,-0.47475
Southern Hemisphere,,1913,-0.43069
Southern Hemisphere,,1914,-0.33231
Southern Hemisphere,,1915,-0.28513
Southern Hemisphere,,1916,-0.40872
Southern Hemisphere,,1917,-0.45188
Southern Hemisphere,,1918,-0.32836
Southern Hemisphere,,1919,-0.33696
Southern Hemisphere,,1920,-0.22016
Southern Hemisphere,,1921,-0.30338
Southern Hemisphere,,1922,-0.39556
Southern Hemisphere,,1923,-0.34178
Southern Hemisphere,,1924,-0.38679
Southern Hemisphere,,1925,-0.32263
Southern Hemisphere,,1926,-0.25889
Southern Hemisphere,,1927,-0.34354
Southern Hemisphere,,1928,-0.34139
Southern Hemisphere,,1929,-0.4269
Southern Hemisphere,,1930,-0.31147
Southern Hemisphere,,1931,-0.20996
Southern Hemisphere,,1932,-0.25344
Southern Hemisphere,,1933,-0.37665
Southern Hemisphere,,1934,-0.25018
Southern Hemisphere,,1935,-0.29573
Southern Hemisphere,,1936,-0.30153
Southern Hemisphere,,1937,-0.1637
Southern Hemisphere,,1938,-0.17969
Southern Hemisphere,,1939,-0.13435
Southern Hemisphere,,1940,0.01625
Southern Hemisphere,,1941,-0.02707
Southern Hemisphere,,1942,-0.08219
Southern Hemisphere,,1943,-0.03588
Southern Hemisphere,,1944,0.13325
Southern Hemisphere,,1945,0.08786
Southern Hemisphere,,1946,-0.231
Southern Hemisphere,,1947,-0.23693
Southern Hemisphere,,1948,-0.24683
Southern Hemisphere,,1949,-0.17854
Southern Hemisphere,,1950,-0.22624
Southern Hemisphere,,1951,-0.20372
Southern Hemisphere,,1952,-0.00552
Southern Hemisphere,,1953,0.0028
Southern Hemisphere,,1954,-0.21646
Southern Hemisphere,,1955,-0.30794
Southern Hemisphere,,1956,-0.2411
Southern Hemisphere,,1957,-0.05904
Southern Hemisphere,,1958,-0.1067
Southern Hemisphere,,1959,-0.11719
Southern Hemisphere,,1960,-0.16209
Southern Hemisphere,,1961,-0.07756
Southern Hemisphere,,1962,-0.1368
Southern Hemisphere,,1963,-0.13215
Southern Hemisphere,,1964,-0.34867
Southern Hemisphere,,1965,-0.24989
Southern Hemisphere,,1966,-0.22728
Southern Hemisphere,,1967,-0.28703
Southern Hemisphere,,1968,-0.25038
Southern Hemisphere,,1969,0.0193
Southern Hemisphere,,1970,-0.10567
Southern Hemisphere,,1971,-0.22679
Southern Hemisphere,,1972,0.06555
Southern Hemisphere,,1973,0.07664
Southern Hemisphere,,1974,-0.09776
Southern Hemisphere,,1975,-0.11066
Southern Hemisphere,,1976,-0.07631
Southern Hemisphere,,1977,0.12641
Southern Hemisphere,,1978,0.0333
Southern Hemisphere,,1979,0.17305
Southern Hemisphere,,1980,0.16289
Southern Hemisphere,,1981,0.1116
Southern Hemisphere,,1982,0.10279
Southern Hemisphere,,1983,0.25301
Southern Hemisphere,,1984,0.12665
Southern Hemisphere,,1985,0.13211
Southern Hemisphere,,1986,0.11983
Southern Hemisphere,,1987,0.27675
Southern Hemisphere,,1988,0.22566
Southern Hemisphere,,1989,0.16678
Southern Hemisphere,,1990,0.24439
Southern Hemisphere,,1991,0.25616
Southern Hemisphere,,1992,0.18537
Southern Hemisphere,,1993,0.23383
Southern Hemisphere,,1994,0.18262
Southern Hemisphere,,1995,0.22653
Southern Hemisphere,,1996,0.22948
Southern Hemisphere,,1997,0.37814
Southern Hemisphere,,1998,0.47908
Southern Hemisphere,,1999,0.24633
Southern Hemisphere,,2000,0.23099
Southern Hemisphere,,2001,0.35358
Southern Hemisphere,,2002,0.40908
Southern Hemisphere,,2003,0.38488
Southern Hemisphere,,2004,0.33035
Southern Hemisphere,,2005,0.34459
Southern Hemisphere,,2006,0.33756
Southern Hemisphere,,2007,0.26591
Southern Hemisphere,,2008,0.24081
Southern Hemisphere,,2009,0.4418
Southern Hemisphere,,2010,0.42176
Southern Hemisphere,,2011,0.3414
Southern Hemisphere,,2012,0.37521
Southern Hemisphere,,2013,0.38887
Southern Hemisphere,,2014,0.44205
Southern Hemisphere,,2015,0.55256
Southern Hemisphere,,2016,0.59633
Southern Hemisphere,,2017,0.52084
Southern Hemisphere,,2018,0.50549
Southern Hemisphere,,2019,0.58543
Southern Hemisphere,,2020,0.5065
Southern Hemisphere,,2021,0.48745
Tropics,,1850,-0.28666
Tropics,,1851,-0.19874
Tropics,,1852,-0.15703
