Latin name
Oxynotus centrina
Centrophorus uyato
Raja maderensis
Leucoraja fullonica
Myliobatis aquila
Dasyatis pastinaca
Dasyatis centroura
Mustelus punctulatus
Mustelus mustelus
Galeorhinus galeus
Sebastes norvegicus
Salmo salar
Scophthalmus maximus
Hippoglossus hippoglossus
Dentex dentex
Orcynopsis unicolor 
Umbrina cirrosa
Labrus viridis
Bodianus scrof
Mycteroperca fusca
Molva dypterygia
Hoplostethus atlanticus
Squalus acanthias
Centroscymnus coelolepis
Echinorhinus brucus
Dalatias licha
Deania calcea
Centrophorus squamosus
Centrophorus lusitanicus
Rhinobatos rhinobatos
Glaucostegus cemiculus
Raja radula
Leucoraja circularis
Mobula mobular
Cetorhinus maximus
Alopias vulpinus
Alopias superciliosus
Carcharhinus plumbeus
Carcharhinus longimanus
Sebastes mentella
Pomatoschistus tortonesei
Epinephelus marginatus
Anarhichas denticulatus
Coryphaenoides rupestris
Squatina squatina
Squatina oculata
Squatina aculeata
Centrophorus granulosus 
Rostroraja alba
Leucoraja melitensis
Dipturus batis
Pristis pristis
Pristis pectinata
Pteromylaeus bovinus
Gymnura altavela
Odontaspis ferox
Carcharias taurus
Lamna nasus 
Carcharodon carcharias
